timestamp,timestamp_iso,student_id,yaw,pitch,roll,attention_state,assignment_id
1771749706489,2026-02-22T08:41:46.489Z,12,-12.98,-10.34,86.64,1,4
1771749708589,2026-02-22T08:41:48.589Z,12,25.79,-24.37,1.93,0,4
1771749710689,2026-02-22T08:41:50.689Z,12,-10.84,3.9,16.18,1,4
1771749712789,2026-02-22T08:41:52.789Z,12,3.21,8.05,-177.66,1,4
1771749714889,2026-02-22T08:41:54.889Z,12,33.51,-24.31,94.86,0,4
1771749716989,2026-02-22T08:41:56.989Z,12,-4.32,-3.67,-56.18,1,4
1771749719089,2026-02-22T08:41:59.089Z,12,-16.44,-1.05,-135.06,1,4
1771749721189,2026-02-22T08:42:01.189Z,12,-38.8,31.55,73.65,0,4
1771749723289,2026-02-22T08:42:03.289Z,12,-9.8,-5.48,-151.27,1,4
1771749725389,2026-02-22T08:42:05.389Z,12,-14.36,-5.77,48.85,1,4
1771749727489,2026-02-22T08:42:07.489Z,12,-4.67,-7.55,-83.89,1,4
1771749729589,2026-02-22T08:42:09.589Z,12,-40.23,-30.68,-91.87,0,4
1771749731689,2026-02-22T08:42:11.689Z,12,-8.28,11.06,67.74,1,4
1771749733789,2026-02-22T08:42:13.789Z,12,-6.33,6.98,-159.86,1,4
1771749735889,2026-02-22T08:42:15.889Z,12,35.03,-24.22,159.45,0,4
1771749737989,2026-02-22T08:42:17.989Z,12,30.32,27.91,149.24,0,4
1771749740089,2026-02-22T08:42:20.089Z,12,-8.46,-6.59,22.09,1,4
1771749742189,2026-02-22T08:42:22.189Z,12,3.05,10.34,-36.22,1,4
1771749744289,2026-02-22T08:42:24.289Z,12,17.91,0.25,-147.27,1,4
1771749746389,2026-02-22T08:42:26.389Z,12,-14.05,3.31,105.15,1,4
1771749748489,2026-02-22T08:42:28.489Z,12,-15.71,-3.08,178.6,1,4
1771749750589,2026-02-22T08:42:30.589Z,12,-42.01,-33.63,13.31,0,4
1771749752689,2026-02-22T08:42:32.689Z,12,5.07,-10.1,-23.48,1,4
1771749754789,2026-02-22T08:42:34.789Z,12,16.34,9.77,-85.18,1,4
1771749756889,2026-02-22T08:42:36.889Z,12,-37.69,-37.41,-72.56,0,4
1771749758989,2026-02-22T08:42:38.989Z,12,-28.82,-30.79,100.31,0,4
1771749761089,2026-02-22T08:42:41.089Z,12,-39.97,20.39,154.48,0,4
1771749763189,2026-02-22T08:42:43.189Z,12,30.99,-37.56,160.9,0,4
1771749706489,2026-02-22T08:41:46.489Z,12,-49.45,-22.57,-8.9,0,5
1771749708589,2026-02-22T08:41:48.589Z,12,38.19,39.29,154.41,0,5
1771749710689,2026-02-22T08:41:50.689Z,12,-42.82,39.9,53.96,0,5
